gapId,name,gaps,notes,fixedPath,startMatch,endMatch,finalGaf,done
gapid_0,dam_compressed.k31.hapmer_from_utig4-1179,"['utig4-1179+', '[N5000N:ambig_path]', 'utig4-2384+']",,,,,,
gapid_1,dam_compressed.k31.hapmer_from_utig4-1179,"['utig4-2463+', '[N24833N:ambig_bubble]', 'utig4-2323+']",,,,,,
gapid_2,dam_compressed.k31.hapmer_from_utig4-1179,"['utig4-2363+', '[N306434N:ambig_bubble]', 'utig4-2496-']",,,,,,
gapid_3,dam_compressed.k31.hapmer_from_utig4-1179,"['utig4-2500+', '[N310403N:ambig_bubble]', 'utig4-273+']",,,,,,
gapid_4,dam_compressed.k31.hapmer_from_utig4-1193,"['utig4-1917+', '[N49796N:tangle]', 'utig4-1807-']",,,,,,
gapid_5,dam_compressed.k31.hapmer_from_utig4-1532,"['utig4-705-', '[N24209N:scaffold]', 'utig4-2425-']",,,,,,
gapid_6,dam_compressed.k31.hapmer_from_utig4-1532,"['utig4-2425-', '[N503004N:tangle]', 'utig4-1532-']",,,,,,
gapid_7,dam_compressed.k31.hapmer_from_utig4-1704,"['utig4-376-', '[N1000N:ambig_bubble]', 'utig4-378+']",,,,,,
gapid_8,dam_compressed.k31.hapmer_from_utig4-1947,"['utig4-1371-', '[N73171N:scaffold]', 'utig4-1369-']",,,,,,
gapid_9,dam_compressed.k31.hapmer_from_utig4-2374,"['utig4-2374+', '[N3513N:scaffold]', 'utig4-315-']",,,,,,
gapid_10,dam_compressed.k31.hapmer_from_utig4-734,"['utig4-1363+', '[N380096N:ambig_bubble]', 'utig4-443+']",,,,,,
gapid_11,dam_compressed.k31.hapmer_from_utig4-734,"['utig4-443+', '[N100000N:scaffold]', 'utig4-2489-']",,,,,,
gapid_12,dam_compressed.k31.hapmer_from_utig4-751,"['utig4-1928-', '[N98093N:ambig_bubble]', 'utig4-1473-']",,,,,,
gapid_13,dam_compressed.k31.hapmer_from_utig4-751,"['utig4-613-', '[N45154N:ambig_bubble]', 'utig4-2485-']",,,,,,
gapid_14,dam_compressed.k31.hapmer_from_utig4-751,"['utig4-748+', '[N5000N:ambig_path]', 'utig4-751+']",,,,,,
gapid_15,dam_compressed.k31.hapmer_from_utig4-824,"['utig4-2206-', '[N1000N:ambig_bubble]', 'utig4-2266-']",,,,,,
gapid_16,haplotype2_from_utig4-2468,"['utig4-816-', '[N855676N:tangle]', 'utig4-2468+']",,,,,,
gapid_17,haplotype2_from_utig4-857,"['utig4-2200-', '[N1000N:ambig_bubble]', 'utig4-1215+']",,,,,,
gapid_18,haplotype2_from_utig4-857,"['utig4-1215+', '[N57456N:ambig_bubble]', 'utig4-1831-']",,,,,,
gapid_19,haplotype2_from_utig4-857,"['utig4-1831-', '[N1000N:ambig_bubble]', 'utig4-2168+']",,,,,,
gapid_20,sire_compressed.k31.hapmer_from_utig4-1349,"['utig4-808+', '[N11814N:alt-utig4-1534]', 'utig4-1535-']",,,,,,
gapid_21,sire_compressed.k31.hapmer_from_utig4-1703,"['utig4-376-', '[N1000N:ambig_bubble]', 'utig4-378+']",,,,,,
gapid_22,sire_compressed.k31.hapmer_from_utig4-1772,"['utig4-2010-', '[N573996N:tangle]', 'utig4-1772-']",,,,,,
